,direction,energy,field,filename,functional,molecule,multiplicity,no_scf_cycles,orbital_threshold,precision,property_threshold,u_norm,u_x,u_y,u_z,walltime
0,non,-100.2849014501131,0,licn_pbe_000.out,pbe,licn,1,21,1e-06,1e-07,-1.0,2.6816630177,2.5057477245,-0.95527215039,-1.1551414651e-08,8324.164
1,x,-467.6125310590193,-0.001,licl_pbe_-0001_x.out,pbe,licl,1,9,1e-06,1e-07,-1.0,2.6925605235,-0.028891766312,5.5899519517e-11,-2.6924055116,6395.442
2,non,-2.892935499206903,0,he_pbe_000.out,pbe,he,1,7,1e-06,1e-07,-1.0,2.2396724162e-12,-1.2687730674e-12,-1.3324896592e-12,-1.277035138e-12,347.6976
3,x,-2.892936291329034,-0.001,he_pbe_-0001_x.out,pbe,he,1,4,1e-06,1e-07,-1.0,0.0015842398869,-0.0015842398869,-1.3318508449e-12,-1.2776631823e-12,335.5341
4,y,-2.892936291329035,-0.001,he_pbe_-0001_y.out,pbe,he,1,4,1e-06,1e-07,-1.0,0.001584239887,-1.269765946e-12,-0.001584239887,-1.2775180988e-12,334.6927
5,y,-467.6125310590195,-0.001,licl_pbe_-0001_y.out,pbe,licl,1,9,1e-06,1e-07,-1.0,2.6925605235,-1.0462698227e-11,-0.028891766586,-2.6924055116,6367.974
6,z,-2.892936291329038,-0.001,he_pbe_-0001_z.out,pbe,he,1,4,1e-06,1e-07,-1.0,0.0015842398869,-1.2691377374e-12,-1.3320039274e-12,-0.0015842398869,334.23
7,z,-467.6152245503454,-0.001,licl_pbe_-0001_z.out,pbe,licl,1,10,1e-06,1e-07,-1.0,2.7233618601,-1.3102133395e-11,4.0116732621e-12,-2.7233618601,7107.051
8,y,-2.892936291329035,+0.001,he_pbe_+0001_y.out,pbe,he,1,4,1e-06,1e-07,-1.0,0.0015842398843,-1.2690912936e-12,0.0015842398843,-1.2775693547e-12,337.3387
9,y,-467.6125310590196,+0.001,licl_pbe_+0001_y.out,pbe,licl,1,9,1e-06,1e-07,-1.0,2.6925605235,-1.3160556961e-11,0.028891766375,-2.6924055116,6386.203
10,x,-467.6125310590195,+0.001,licl_pbe_+0001_x.out,pbe,licl,1,9,1e-06,1e-07,-1.0,2.6925605235,0.02889176628,5.3277918186e-11,-2.6924055116,6334.69
