,direction,energy,field,filename,functional,molecule,multiplicity,no_scf_cycles,orbital_threshold,precision,property_threshold,u_norm,u_x,u_y,u_z,walltime
1,non,-174.806143962779,0,of_pbe_00.out,pbe,of,2,33,1e-06,1e-07,-1.0,0.076220211251,2.3660369234e-08,-4.0201620851e-08,0.076220211251,22958.36
3,x,-79.34469152819497,-0.01,bn_pbe_-001_x.out,pbe,bn,3,30,1e-06,1e-07,-1.0,0.76470762757,-0.18204743513,-6.4804367734e-12,-0.74272234855,46464.26
4,y,-79.34492591916951,-0.01,bn_pbe_-001_y.out,pbe,bn,3,27,1e-06,1e-07,-1.0,0.7731784582,-7.6935727666e-12,-0.22924882887,-0.73841038907,40787.56
7,z,-79.35271275619282,-0.01,bn_pbe_-001_z.out,pbe,bn,3,24,1e-06,1e-07,-1.0,1.0395705717,-7.8525651063e-12,-7.2226683738e-12,-1.0395705717,36445.35
8,x,-79.34469152819496,+0.01,bn_pbe_+001_x.out,pbe,bn,3,30,1e-06,1e-07,-1.0,0.76470762757,0.18204743511,-7.7985455777e-12,-0.74272234855,45919.42
10,y,-79.34492591916919,+0.01,bn_pbe_+001_y.out,pbe,bn,3,27,1e-06,1e-07,-1.0,0.77317845818,-7.9106358373e-12,0.22924882885,-0.73841038906,41291.52
11,z,-79.33792261209905,+0.01,bn_pbe_+001_z.out,pbe,bn,3,23,1e-06,1e-07,-1.0,0.42306896851,-7.8733788743e-12,-6.6290339924e-12,-0.42306896851,35471.62
13,z,-174.8076393251476,+0.01,of_pbe_+001_z.out,pbe,of,2,26,1e-06,1e-07,-1.0,0.22334812364,1.0758911464e-10,1.8393732064e-09,0.22334812364,55472.47
14,z,-176.0940328874631,+0.01,fh-oh_pbe_+001_z.out,pbe,fh-oh,2,24,1e-06,1e-07,-1.0,0.99072621393,0.61866581791,-6.2773164515e-07,-0.77381589329,56599.34
16,x,-176.1108102854966,+0.01,fh-oh_pbe_+001_x.out,pbe,fh-oh,2,21,1e-06,1e-07,-1.0,1.3745533998,0.78746172082,-4.5543702455e-07,-1.1266326319,49144.04
17,y,-174.806575139985,+0.01,of_pbe_+001_y.out,pbe,of,2,26,1e-06,1e-07,-1.0,0.11574177119,7.4610084934e-05,0.086404057048,0.077009680926,54707.89
18,x,-174.8065438753366,+0.01,of_pbe_+001_x.out,pbe,of,2,22,1e-06,1e-07,-1.0,0.11073857529,0.080049517358,7.5113140282e-05,0.076518632938,44837.12
19,y,-176.104258590774,+0.01,fh-oh_pbe_+001_y.out,pbe,fh-oh,2,87,1e-06,1e-07,-1.0,1.2905647766,0.64510556605,0.12244216499,-1.1110374285,213986.8
20,z,-75.68444903092593,+0.01,oh_pbe_+001_z.out,pbe,oh,2,13,1e-06,1e-07,-1.0,0.53333401059,-5.6580034653e-12,-5.4269228547e-12,-0.53333401059,11533.91
22,y,-75.6906944203926,+0.01,oh_pbe_+001_y.out,pbe,oh,2,13,1e-06,1e-07,-1.0,0.63320248237,-5.6687617824e-12,0.088400671634,-0.62700135959,11607.61
23,non,-79.34378335084055,0,bn_pbe_00.out,pbe,bn,3,22,1e-06,1e-07,-1.0,0.74355706449,-7.9154566615e-12,-6.9884704763e-12,-0.74355706449,13316.1
24,x,-75.69059822653247,+0.01,oh_pbe_+001_x.out,pbe,oh,2,23,1e-06,1e-07,-1.0,0.63107791543,0.068908413273,-5.4458895666e-12,-0.62730452408,20489.07
25,z,-75.69698876595972,-0.01,oh_pbe_-001_z.out,pbe,oh,2,12,1e-06,1e-07,-1.0,0.71947646185,-5.6615820028e-12,-5.4547851731e-12,-0.71947646185,10648.94
27,y,-75.69069442039292,-0.01,oh_pbe_-001_y.out,pbe,oh,2,13,1e-06,1e-07,-1.0,0.63320248237,-5.6665059836e-12,-0.088400671644,-0.62700135959,11492.51
28,x,-75.69059822653259,-0.01,oh_pbe_-001_x.out,pbe,oh,2,23,1e-06,1e-07,-1.0,0.63107791543,-0.068908413284,-5.4428464276e-12,-0.62730452408,20370.75
30,z,-174.806107318035,-0.01,of_pbe_-001_z.out,pbe,of,2,27,1e-06,1e-07,-1.0,0.068614769939,2.1377281066e-11,2.9726734245e-09,-0.068614769939,56979.94
31,z,-176.1158462376301,-0.01,fh-oh_pbe_-001_z.out,pbe,fh-oh,2,23,1e-06,1e-07,-1.0,1.4739670748,0.65655404143,-2.4485020288e-07,-1.3196650061,54426.77
33,x,-176.0979142642888,-0.01,fh-oh_pbe_-001_x.out,pbe,fh-oh,2,19,1e-06,1e-07,-1.0,1.204778378,0.50108370522,-4.5256666295e-07,-1.0956304397,44620.06
34,y,-174.8065751399852,-0.01,of_pbe_-001_y.out,pbe,of,2,26,1e-06,1e-07,-1.0,0.11574175463,-7.4609062025e-05,-0.086404053472,0.077009660052,55398.75
35,non,-75.6902541585949,0,oh_pbe_00.out,pbe,oh,2,15,1e-06,1e-07,-1.0,0.62727641559,-5.7465865709e-12,-5.4397618504e-12,-0.62727641559,7171.967
36,non,-176.1036473549244,0,fh-oh_pbe_00.out,pbe,fh-oh,2,91,1e-06,1e-07,-1.0,1.2856624439,0.64506483118,3.432825018e-07,-1.1121237715,88386.32
37,x,-174.8065438753369,-0.01,of_pbe_-001_x.out,pbe,of,2,22,1e-06,1e-07,-1.0,0.11073857307,-0.080049515283,-7.5105475402e-05,0.076518631894,45013.46
38,y,-176.1042585907746,-0.01,fh-oh_pbe_-001_y.out,pbe,fh-oh,2,88,1e-06,1e-07,-1.0,1.290565056,0.64510560547,-0.12244204193,-1.1110377437,213424.8
