,direction,energy,field,filename,functional,molecule,no_scf_cycles,u_x,u_y,u_z,walltime
0,x,-174.806096734149,-0.001,of_pbe_-0001_x.out,pbe,of,13,-0.00799,-0.00000,0.07624,278.531
1,y,-129.825626872437,-0.001,no_pbe_-0001_y.out,pbe,no,11,0.00000,-0.01133,0.09023,266.124
2,non,-467.612388473118,0,licl_pbe_00.out,pbe,licl,13,-0.00000,-0.00000,-2.69267,176.047
3,x,-176.102967526287,-0.001,fh-oh_pbe_-0001_x.out,pbe,fh-oh,13,0.63079,0.00000,-1.11049,1063.479
4,y,-176.103611560584,-0.001,fh-oh_pbe_-0001_y.out,pbe,fh-oh,17,0.64507,-0.01220,-1.11204,1526.249
5,non,-535.119896816343,0,ocl_pbe_00.out,pbe,ocl,15,0.00000,-0.00000,0.52863,426.465
6,x,-129.825626872436,-0.001,no_pbe_-0001_x.out,pbe,no,11,-0.01133,0.00000,0.09023,265.53
7,z,-858.050653921582,-0.001,scl_pbe_-0001_z.out,pbe,scl,13,-0.00000,-0.00000,0.01948,478.209
8,y,-174.806096734146,-0.001,of_pbe_-0001_y.out,pbe,of,13,-0.00000,-0.00799,0.07624,280.818
9,non,-174.80609274074,0,of_pbe_00.out,pbe,of,13,-0.00000,-0.00000,0.07624,282.292
10,non,-254.972214258693,0,nacn_pbe_00.out,pbe,nacn,15,-1.77401,-2.86468,-0.00000,938.349
11,x,-858.050713459955,-0.001,scl_pbe_-0001_x.out,pbe,scl,15,-0.02902,-0.00000,0.07061,536.221
12,z,-129.82553908951,-0.001,no_pbe_-0001_z.out,pbe,no,14,0.00000,0.00000,0.07404,311.019
13,z,-176.10472940229,-0.001,fh-oh_pbe_-0001_z.out,pbe,fh-oh,13,0.64656,0.00000,-1.13565,1065.375
14,y,-858.050713459959,-0.001,scl_pbe_-0001_y.out,pbe,scl,15,-0.00000,-0.02902,0.07061,536.341
15,z,-174.806023781859,-0.001,of_pbe_-0001_z.out,pbe,of,13,-0.00000,-0.00000,0.06168,279.011
16,y,-176.103611560586,+0.001,fh-oh_pbe_+0001_y.out,pbe,fh-oh,17,0.64507,0.01220,-1.11204,1526.243
17,x,-129.825626872436,+0.001,no_pbe_+0001_x.out,pbe,no,11,0.01133,-0.00000,0.09023,266.58
